nohup: ignoring input
2025-07-04 07:44:27,326 INFO     Starting server at tcp:port=8000:interface=127.0.0.1
2025-07-04 07:44:27,326 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2025-07-04 07:44:27,326 INFO     Configuring endpoint tcp:port=8000:interface=127.0.0.1
2025-07-04 07:44:27,327 INFO     Listening on TCP address 127.0.0.1:8000
127.0.0.1:53918 - - [04/Jul/2025:07:45:17] "WSCONNECT /ws/game-socket/484/" - -
[get_selected_players] For game 484: [{'user': 217, 'card': [56]}, {'user': 329, 'card': [66]}]
127.0.0.1:53930 - - [04/Jul/2025:07:45:17] "GET /api/bingo/api/get-bingo-card/?cardId=55" 200 131
127.0.0.1:53946 - - [04/Jul/2025:07:45:18] "GET /api/bingo/api/get-bingo-card/?cardId=75" 200 132
[get_selected_players] For game 484: [{'user': 217, 'card': [56]}, {'user': 329, 'card': [66]}]
[add_player][before] For game 484: [{'user': 217, 'card': [56]}, {'user': 329, 'card': [66]}]
[add_player][after append] For game 484: [{'user': 329, 'card': [66]}, {'user': 217, 'card': [55, 75]}]
[set_selected_players] For game 484: [{'user': 329, 'card': [66]}, {'user': 217, 'card': [55, 75]}]
[get_selected_players] For game 484: [{'user': 329, 'card': [66]}, {'user': 217, 'card': [55, 75]}]
User 217 joined bingo page for game 484
[get_selected_players] For game 484: [{'user': 329, 'card': [66]}, {'user': 217, 'card': [55, 75]}]
Sending cards: [{'id': 55, 'numbers': [[7, 21, 41, 50, 65], [14, 28, 36, 60, 63], [5, 26, 0, 49, 74], [2, 19, 44, 51, 71], [15, 22, 34, 53, 61]]}, {'id': 75, 'numbers': [[7, 19, 33, 51, 66], [9, 25, 38, 47, 69], [15, 28, 0, 54, 74], [10, 18, 37, 56, 62], [14, 24, 44, 55, 67]]}]
127.0.0.1:53952 - - [04/Jul/2025:07:45:20] "GET /api/bingo/api/get-game-stats/484/" 200 183
127.0.0.1:53956 - - [04/Jul/2025:07:45:20] "GET /api/bingo/api/get-game-stats/484/" 200 183
[get_selected_players] For game 484: [{'user': 329, 'card': [66]}, {'user': 217, 'card': [55, 75]}]
Selected players: [{'user': 329, 'card': [66]}, {'user': 217, 'card': [55, 75]}]
[{"user": 329, "card": [66]}, {"user": 217, "card": [55, 75]}]
[get_selected_players] For game 484: [{'user': 329, 'card': [66]}, {'user': 217, 'card': [55, 75]}]
Checking Bingo for user 217 with cards: [55, 75]
Cards for user 217: [55, 75]
Checking card 55 for user 217 with numbers: [[7, 21, 41, 50, 65], [14, 28, 36, 60, 63], [5, 26, 0, 49, 74], [2, 19, 44, 51, 71], [15, 22, 34, 53, 61]]
Checking card for Bingo: [[7, 21, 41, 50, 65], [14, 28, 36, 60, 63], [5, 26, 0, 49, 74], [2, 19, 44, 51, 71], [15, 22, 34, 53, 61]]
Called numbers: [65, 51, 23, 27, 13, 19, 12, 17, 14, 43, 45, 7, 35, 31, 75, 44, 56, 25, 1, 37, 48, 15, 54, 67, 0]
Checking card 75 for user 217 with numbers: [[7, 19, 33, 51, 66], [9, 25, 38, 47, 69], [15, 28, 0, 54, 74], [10, 18, 37, 56, 62], [14, 24, 44, 55, 67]]
Checking card for Bingo: [[7, 19, 33, 51, 66], [9, 25, 38, 47, 69], [15, 28, 0, 54, 74], [10, 18, 37, 56, 62], [14, 24, 44, 55, 67]]
Called numbers: [65, 51, 23, 27, 13, 19, 12, 17, 14, 43, 45, 7, 35, 31, 75, 44, 56, 25, 1, 37, 48, 15, 54, 67, 0]
127.0.0.1:53918 - - [04/Jul/2025:07:47:39] "WSDISCONNECT /ws/game-socket/484/" - -
127.0.0.1:45916 - - [04/Jul/2025:07:47:39] "GET /api/bingo/api/get-game-data/" 200 19
